query_id,query_text,doc_id,label
q_0,"HP Chromebook 14a, 14-inch HD Touchscreen, Intel Processor N100, 4GB RAM, 64GB eMMC, Intel UHD Graphics, ChromeOS, Wi-Fi 6E, Bluetooth 5.3, Fast Charge, Long Battery Life, Glacier Silver, A1NF6PA HP  Intel N100  Glacier Silver Integrated   1 TB ChromeBook 14a Windows 11 Home  4 GB 14 Inches Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",c72a65730a2e,1
q_1,"Lenovo Chromebook IdeaPad Slim 3 14M868, 14' HD, 128GB eMMC/4GB RAM, MediaTek Kompanio 520, Abyss Blue Lenovo  MediaTek Kompanio 520  Abyss Blue Integrated   128 GB IdeaPad Chrome OS  4 GB 14 Inches Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",9e565e306e83,1
q_2,"HP Elitebook 830 G5 13.3"" i5-8250U 16GB 256GB SSD, Full HD, Windows 11 (Renewed) HP  Intel Core i5  Silver Integrated   256 GB HP Elitebook 830 Windows 11  16 GB 13.3 Inches Fingerprint Reader, Numeric Keypad",ae632a337ffe,1
q_3,"HP 15.6'' Laptop, FHD Display, Intel Core i5 1334U Processor, Intel Iris Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home, 1.59 kg, Jet Black, 9T0K1PA HP  Intel Core i5 4.6  Integrated  SSD  HP 15"" Laptop Windows 11 Home 10 16 GB 15.6 Inches",e3e86174f156,1
q_4,"Dell Latitude 5420 14"" Intel i5-1135G7 16GB RAM 256GB SSD Windows 11 Pro Laptop (Renewed) DELL  Core i5 2.4 GHz  Integrated  SSD 256 GB Latitude 5420 Windows 11 Pro  16 GB 14 Inches",d196057339d1,1
q_5,"Acer TravelMate P459-M-553B 15.6"" Intel Core i5-6200U 8GB 256GB Windows 11 (New Compatible Battery Installed) (Renewed) acer  Intel Core i5 2.3 GHz  Integrated  SSD  TravelMate P459-M-553B Windows 11 2 8 GB 15.6 Inches",219f67223d94,1
q_6,"ASUS ChromeBook Laptop. 14.0-inch FHD (1920 x 1080) 16:9 Display. Intel Celeron N4500 Processor 1.1 GHz (up to 2.8 GHz, 2 cores). LPDDR4X 8GB RAM. 128G eMMC Storage. Wi-Fi 6. ChromeOS. ASUS  Celeron  Pure Grey Integrated   128 GB CX1405CKA-NK8128 Chrome OS  8 GB 14 Inches Anti Glare Coating, Lightweight",57577e81b0f7,1
q_7,"Microsoft Surface Laptop 2-13.5"" Touch Screen Intel Core i5 8th Generation 8350U 8GB RAM 128GB SSD Windows 11 Notebook PC (Renewed) Microsoft Intel Intel Core i5 1.7 GHz    SSD 128 GB SURFACELAPTOP2-I58TH-8G128GE Windows 11 4  13.5 Inches",3f010c60afcf,1
q_8,"Lenovo V15 Business Laptop Computer, 15.6"" FHD Display, Intel Dual-core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, Numeric Keypad, WiFi, Bluetooth 5.1, USB Type-C, Windows 11 Pro, Black, Tichang Lenovo  Celeron  Black Integrated   1 TB V15 Windows 11 Pro  32 GB 15.6 Inches Numeric Keypad",5529c9067ee1,1
q_9,"Dell Latitude 5300 13.3"" i5-8365U 16GB 256GB Win 11 Pro (Renewed) DELL  Intel Core i5 1.6 GHz  Integrated   256 GB DW347 Windows 11  16 GB 13.3 Inches Fingerprint Reader, Memory Card Slot",6f277c603d5f,1
