doc_id,content,row,name,price,rating
49beb392d98e,"ROW=0 | NAME=HP Chromebook 14a, 14-inch HD Touchscreen, Intel Processor N100, 4GB RAM, 64GB eMMC, Intel UHD Graphics, ChromeOS, Wi-Fi 6E, Bluetooth 5.3, Fast Charge, Long Battery Life, Glacier Silver, A1NF6PA HP  Intel N100  Glacier Silver Integrated   1 TB ChromeBook 14a Windows 11 Home  4 GB 14 Inches Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad | PRICE=407.27 | RAM=4GB | SCREEN_SIZE=14 inch | CPU=Not specified | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",0,"HP Chromebook 14a, 14-inch HD Touchscreen, Intel Processor N100, 4GB RAM, 64GB eMMC, Intel UHD Graphics, ChromeOS, Wi-Fi 6E, Bluetooth 5.3, Fast Charge, Long Battery Life, Glacier Silver, A1NF6PA HP  Intel N100  Glacier Silver Integrated   1 TB ChromeBook 14a Windows 11 Home  4 GB 14 Inches Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",407.27,
2447939fc79c,"ROW=1 | NAME=Lenovo Chromebook IdeaPad Slim 3 14M868, 14' HD, 128GB eMMC/4GB RAM, MediaTek Kompanio 520, Abyss Blue Lenovo  MediaTek Kompanio 520  Abyss Blue Integrated   128 GB IdeaPad Chrome OS  4 GB 14 Inches Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot | PRICE=368.00 | RAM=128GB | SCREEN_SIZE=14 inch | CPU=Not specified | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",1,"Lenovo Chromebook IdeaPad Slim 3 14M868, 14' HD, 128GB eMMC/4GB RAM, MediaTek Kompanio 520, Abyss Blue Lenovo  MediaTek Kompanio 520  Abyss Blue Integrated   128 GB IdeaPad Chrome OS  4 GB 14 Inches Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",368.00,
1b03bcc2cda1,"ROW=2 | NAME=HP Elitebook 830 G5 13.3"" i5-8250U 16GB 256GB SSD, Full HD, Windows 11 (Renewed) HP  Intel Core i5  Silver Integrated   256 GB HP Elitebook 830 Windows 11  16 GB 13.3 Inches Fingerprint Reader, Numeric Keypad | PRICE=312.00 | RAM=16GB | SCREEN_SIZE=13.3 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",2,"HP Elitebook 830 G5 13.3"" i5-8250U 16GB 256GB SSD, Full HD, Windows 11 (Renewed) HP  Intel Core i5  Silver Integrated   256 GB HP Elitebook 830 Windows 11  16 GB 13.3 Inches Fingerprint Reader, Numeric Keypad",312.00,
e3ee474043e0,"ROW=3 | NAME=HP 15.6'' Laptop, FHD Display, Intel Core i5 1334U Processor, Intel Iris Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home, 1.59 kg, Jet Black, 9T0K1PA HP  Intel Core i5 4.6  Integrated  SSD  HP 15"" Laptop Windows 11 Home 10 16 GB 15.6 Inches | PRICE=1999.00 | RAM=8GB | SCREEN_SIZE=15.6 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",3,"HP 15.6'' Laptop, FHD Display, Intel Core i5 1334U Processor, Intel Iris Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home, 1.59 kg, Jet Black, 9T0K1PA HP  Intel Core i5 4.6  Integrated  SSD  HP 15"" Laptop Windows 11 Home 10 16 GB 15.6 Inches",1999.00,
0252f22a9d05,"ROW=4 | NAME=Dell Latitude 5420 14"" Intel i5-1135G7 16GB RAM 256GB SSD Windows 11 Pro Laptop (Renewed) DELL  Core i5 2.4 GHz  Integrated  SSD 256 GB Latitude 5420 Windows 11 Pro  16 GB 14 Inches | PRICE=379.00 | RAM=16GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",4,"Dell Latitude 5420 14"" Intel i5-1135G7 16GB RAM 256GB SSD Windows 11 Pro Laptop (Renewed) DELL  Core i5 2.4 GHz  Integrated  SSD 256 GB Latitude 5420 Windows 11 Pro  16 GB 14 Inches",379.00,
419a8a305306,"ROW=5 | NAME=Acer TravelMate P459-M-553B 15.6"" Intel Core i5-6200U 8GB 256GB Windows 11 (New Compatible Battery Installed) (Renewed) acer  Intel Core i5 2.3 GHz  Integrated  SSD  TravelMate P459-M-553B Windows 11 2 8 GB 15.6 Inches | PRICE=199.00 | RAM=8GB | SCREEN_SIZE=15.6 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",5,"Acer TravelMate P459-M-553B 15.6"" Intel Core i5-6200U 8GB 256GB Windows 11 (New Compatible Battery Installed) (Renewed) acer  Intel Core i5 2.3 GHz  Integrated  SSD  TravelMate P459-M-553B Windows 11 2 8 GB 15.6 Inches",199.00,
f0f9cd70c30b,"ROW=6 | NAME=ASUS ChromeBook Laptop. 14.0-inch FHD (1920 x 1080) 16:9 Display. Intel Celeron N4500 Processor 1.1 GHz (up to 2.8 GHz, 2 cores). LPDDR4X 8GB RAM. 128G eMMC Storage. Wi-Fi 6. ChromeOS. ASUS  Celeron  Pure Grey Integrated   128 GB CX1405CKA-NK8128 Chrome OS  8 GB 14 Inches Anti Glare Coating, Lightweight | PRICE=328.00 | RAM=8GB | SCREEN_SIZE=14 inch | CPU=Not specified | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",6,"ASUS ChromeBook Laptop. 14.0-inch FHD (1920 x 1080) 16:9 Display. Intel Celeron N4500 Processor 1.1 GHz (up to 2.8 GHz, 2 cores). LPDDR4X 8GB RAM. 128G eMMC Storage. Wi-Fi 6. ChromeOS. ASUS  Celeron  Pure Grey Integrated   128 GB CX1405CKA-NK8128 Chrome OS  8 GB 14 Inches Anti Glare Coating, Lightweight",328.00,
7ad510b46424,"ROW=7 | NAME=Microsoft Surface Laptop 2-13.5"" Touch Screen Intel Core i5 8th Generation 8350U 8GB RAM 128GB SSD Windows 11 Notebook PC (Renewed) Microsoft Intel Intel Core i5 1.7 GHz    SSD 128 GB SURFACELAPTOP2-I58TH-8G128GE Windows 11 4  13.5 Inches | PRICE=305.00 | RAM=8GB | SCREEN_SIZE=13.5 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",7,"Microsoft Surface Laptop 2-13.5"" Touch Screen Intel Core i5 8th Generation 8350U 8GB RAM 128GB SSD Windows 11 Notebook PC (Renewed) Microsoft Intel Intel Core i5 1.7 GHz    SSD 128 GB SURFACELAPTOP2-I58TH-8G128GE Windows 11 4  13.5 Inches",305.00,
75cba3677e21,"ROW=8 | NAME=Lenovo V15 Business Laptop Computer, 15.6"" FHD Display, Intel Dual-core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, Numeric Keypad, WiFi, Bluetooth 5.1, USB Type-C, Windows 11 Pro, Black, Tichang Lenovo  Celeron  Black Integrated   1 TB V15 Windows 11 Pro  32 GB 15.6 Inches Numeric Keypad | PRICE=2499.00 | RAM=32GB | SCREEN_SIZE=15.6 inch | CPU=Not specified | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",8,"Lenovo V15 Business Laptop Computer, 15.6"" FHD Display, Intel Dual-core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, Numeric Keypad, WiFi, Bluetooth 5.1, USB Type-C, Windows 11 Pro, Black, Tichang Lenovo  Celeron  Black Integrated   1 TB V15 Windows 11 Pro  32 GB 15.6 Inches Numeric Keypad",2499.00,
0e2bb03f474e,"ROW=9 | NAME=Dell Latitude 5300 13.3"" i5-8365U 16GB 256GB Win 11 Pro (Renewed) DELL  Intel Core i5 1.6 GHz  Integrated   256 GB DW347 Windows 11  16 GB 13.3 Inches Fingerprint Reader, Memory Card Slot | PRICE=349.00 | RAM=16GB | SCREEN_SIZE=13.3 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",9,"Dell Latitude 5300 13.3"" i5-8365U 16GB 256GB Win 11 Pro (Renewed) DELL  Intel Core i5 1.6 GHz  Integrated   256 GB DW347 Windows 11  16 GB 13.3 Inches Fingerprint Reader, Memory Card Slot",349.00,
e94c69b372f9,"ROW=10 | NAME=Lenovo ThinkPad T490 14"" Intel Core i5-8265U 16GB RAM 256GB SSD Windows 11 Pro - Non-Touch Screen (Renewed) Lenovo  Intel Core i5 1.6 GHz  Integrated  SSD 256 GB ThinkPad T490 Windows 11 Pro  16 GB 14 Inches | PRICE=329.00 | RAM=16GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",10,"Lenovo ThinkPad T490 14"" Intel Core i5-8265U 16GB RAM 256GB SSD Windows 11 Pro - Non-Touch Screen (Renewed) Lenovo  Intel Core i5 1.6 GHz  Integrated  SSD 256 GB ThinkPad T490 Windows 11 Pro  16 GB 14 Inches",329.00,
b2bedf8dc00b,"ROW=11 | NAME=Dell Inspiron 15 3530 Laptop – Intel Core i5-1334U – 16 GB RAM – 512 GB PCIe NVMe SSD – 15.6 inch 1920x1080 120 Hz – Windows 11 – Platinum Silver DELL  Intel Core i5  Silver Integrated   512 GB Inspiron 15 3530 Windows 11 Home  16 GB 15.6 Inches Anti Glare Coating, Memory Card Slot, Numeric Keypad | PRICE=899.00 | RAM=16GB | SCREEN_SIZE=15.6 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",11,"Dell Inspiron 15 3530 Laptop – Intel Core i5-1334U – 16 GB RAM – 512 GB PCIe NVMe SSD – 15.6 inch 1920x1080 120 Hz – Windows 11 – Platinum Silver DELL  Intel Core i5  Silver Integrated   512 GB Inspiron 15 3530 Windows 11 Home  16 GB 15.6 Inches Anti Glare Coating, Memory Card Slot, Numeric Keypad",899.00,
0dde01d36477,"ROW=12 | NAME=HP ProBook 430 G4 Intel i3 7100U 8GB RAM 128GB SSD 13.3"" Win 11 (Renewed) HP  Intel Core i5 2.4 GHz  Integrated  SSD  ProBook 430 G4 Windows 11 2 8 GB 13.3 Inches | PRICE=447.00 | RAM=8GB | SCREEN_SIZE=13.3 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",12,"HP ProBook 430 G4 Intel i3 7100U 8GB RAM 128GB SSD 13.3"" Win 11 (Renewed) HP  Intel Core i5 2.4 GHz  Integrated  SSD  ProBook 430 G4 Windows 11 2 8 GB 13.3 Inches",447.00,
ec38f22174cd,"ROW=13 | NAME=Dell Latitude 7390 13.3"" Touch Screen i5 8250U 16GB 256GB W11 Pro (Renewed), DW541 DELL  Core i5 1.7 GHz  Integrated   256 GB Latitude Windows 11  16 GB 13.3 Inches touchscreen | PRICE=439.00 | RAM=16GB | SCREEN_SIZE=13.3 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",13,"Dell Latitude 7390 13.3"" Touch Screen i5 8250U 16GB 256GB W11 Pro (Renewed), DW541 DELL  Core i5 1.7 GHz  Integrated   256 GB Latitude Windows 11  16 GB 13.3 Inches touchscreen",439.00,
4a50f3fd7430,ROW=14 | NAME=Lenovo ThinkPad T460 14-in Intel i5-6300 8GB RAM 128GB SSD Windows 11 (Renewed) Lenovo  Core i5-6300U 2.4 GHz Black Integrated   256 GB ThinkPad T460 Windows 11  8 GB 14 Inches | PRICE=312.00 | RAM=8GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=,14,Lenovo ThinkPad T460 14-in Intel i5-6300 8GB RAM 128GB SSD Windows 11 (Renewed) Lenovo  Core i5-6300U 2.4 GHz Black Integrated   256 GB ThinkPad T460 Windows 11  8 GB 14 Inches,312.00,
7bd008dab919,"ROW=15 | NAME=ASUS Vivobook Go 15 Laptop, 15.6-inch, Windows 11 Home, Intel Pentium Silver N6000 Processor, 256GB SSD, 8GB RAM, Intel HD Graphics Graphics, Peacock Blue, E510KA-EJ134W ASUS  Pentium  Peacock Blue Dedicated   256 GB Vivobook Go Windows 11 Home  8 GB 15.6 Inches Anti Glare Coating, Backlit Keyboard, Memory Card Slot | PRICE=1199.00 | RAM=256GB | SCREEN_SIZE=15.6 inch | CPU=Not specified | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",15,"ASUS Vivobook Go 15 Laptop, 15.6-inch, Windows 11 Home, Intel Pentium Silver N6000 Processor, 256GB SSD, 8GB RAM, Intel HD Graphics Graphics, Peacock Blue, E510KA-EJ134W ASUS  Pentium  Peacock Blue Dedicated   256 GB Vivobook Go Windows 11 Home  8 GB 15.6 Inches Anti Glare Coating, Backlit Keyboard, Memory Card Slot",1199.00,
de2f708f072a,"ROW=16 | NAME=Dell Latitude 7390 13.3"" i7-8650U 16GB 256GB W11Pro (Renewed) Dell  Intel Core i7 1.9 GHz  Integrated   256 GB Latitude Windows 11 Pro  16 GB 13.3 Inches Long Battery Life | PRICE=439.00 | RAM=16GB | SCREEN_SIZE=13.3 inch | CPU=Intel Core i7 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",16,"Dell Latitude 7390 13.3"" i7-8650U 16GB 256GB W11Pro (Renewed) Dell  Intel Core i7 1.9 GHz  Integrated   256 GB Latitude Windows 11 Pro  16 GB 13.3 Inches Long Battery Life",439.00,
df5201c139ae,"ROW=17 | NAME=Microsoft Surface Laptop GO -12.4"" Touch Screen Intel Core i5 10th Generation 1035G1 16GB RAM 256GB SSD Windows 11 Notebook PC (Renewed) Microsoft Intel Intel Core i5 1 GHz    SSD 256 GB  Windows 11 4  12.4 Inches | PRICE=895.00 | RAM=16GB | SCREEN_SIZE=12.4 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",17,"Microsoft Surface Laptop GO -12.4"" Touch Screen Intel Core i5 10th Generation 1035G1 16GB RAM 256GB SSD Windows 11 Notebook PC (Renewed) Microsoft Intel Intel Core i5 1 GHz    SSD 256 GB  Windows 11 4  12.4 Inches",895.00,
f9ff338b06cc,"ROW=18 | NAME=Dell Latitude 7490 14"" Core i5 8th Generation 8350U 16GB RAM 256GB M.2 SSD Windows 11 Slim Laptop PC with USB-C (Renewed) DELL  Intel Core i5 1.7 GHz  Integrated Intel HD Graphics  256 GB Latitude Windows 11  16 GB 14 Inches | PRICE=312.00 | RAM=16GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",18,"Dell Latitude 7490 14"" Core i5 8th Generation 8350U 16GB RAM 256GB M.2 SSD Windows 11 Slim Laptop PC with USB-C (Renewed) DELL  Intel Core i5 1.7 GHz  Integrated Intel HD Graphics  256 GB Latitude Windows 11  16 GB 14 Inches",312.00,
1150d598e53a,"ROW=19 | NAME=Lenovo IdeaPad 1 Laptop Computer for Home and Business Student, 16GB DDR4 RAM, 512GB PCIe SSD, 15.6"" FHD, Intel Dual-Core Processor, WiFi 6, Bluetooth, Type-C, HDMI, Windows 11 Pro, Wendbo Lenovo  Celeron  Cloud Grey Integrated   512 GB IdeaPad Windows 11 Pro  16 GB 15.6 Inches HD Audio | PRICE=848.00 | RAM=16GB | SCREEN_SIZE=15.6 inch | CPU=Not specified | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",19,"Lenovo IdeaPad 1 Laptop Computer for Home and Business Student, 16GB DDR4 RAM, 512GB PCIe SSD, 15.6"" FHD, Intel Dual-Core Processor, WiFi 6, Bluetooth, Type-C, HDMI, Windows 11 Pro, Wendbo Lenovo  Celeron  Cloud Grey Integrated   512 GB IdeaPad Windows 11 Pro  16 GB 15.6 Inches HD Audio",848.00,
17db95330365,"ROW=20 | NAME=HP 14"" Laptop, 14-inch FHD Display, Intel i3-1215U Processor, 16GB RAM, 512GB SSD, Intel UHD Graphics, Windows 11, Slim & Lightweight Design, Long Battery Life, Silver, B22Z1PA HP  Core i3 4.4 Silver Integrated   512 GB HP 14"" Laptop Windows 11 Home  16 GB 14 | PRICE=799.00 | RAM=16GB | SCREEN_SIZE=Not specified | CPU=Intel Core i3 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",20,"HP 14"" Laptop, 14-inch FHD Display, Intel i3-1215U Processor, 16GB RAM, 512GB SSD, Intel UHD Graphics, Windows 11, Slim & Lightweight Design, Long Battery Life, Silver, B22Z1PA HP  Core i3 4.4 Silver Integrated   512 GB HP 14"" Laptop Windows 11 Home  16 GB 14",799.00,
35cf445b5f8e,"ROW=21 | NAME=HP EliteBook X360 830 G6 13.3"" Intel i5-8265U 16GB RAM 256GB SSD Win 11 (Renewed) HP  Core i5 Family  Black or Silver Integrated   256 GB EliteBook X360 830 G6 Windows 11  16 GB 13.3 Inches Convertible Design | PRICE=312.00 | RAM=16GB | SCREEN_SIZE=13.3 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",21,"HP EliteBook X360 830 G6 13.3"" Intel i5-8265U 16GB RAM 256GB SSD Win 11 (Renewed) HP  Core i5 Family  Black or Silver Integrated   256 GB EliteBook X360 830 G6 Windows 11  16 GB 13.3 Inches Convertible Design",312.00,
29cdec56741a,"ROW=22 | NAME=Lenovo ThinkPad T460S 14"" Intel Core i5-6300 8GB RAM 256GB SSD Windows 11 (Renewed) Lenovo  Intel Core i5 2.4 GHz  Integrated  SSD  ThinkPad T460s Windows 11 2 8 GB 14 Inches | PRICE=312.00 | RAM=8GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",22,"Lenovo ThinkPad T460S 14"" Intel Core i5-6300 8GB RAM 256GB SSD Windows 11 (Renewed) Lenovo  Intel Core i5 2.4 GHz  Integrated  SSD  ThinkPad T460s Windows 11 2 8 GB 14 Inches",312.00,
3cb491a22a52,"ROW=23 | NAME=Dell Latitude 7400 Touch Laptop Intel i5-8365U Win 11 16GB RAM 256GB SSD (Renewed) DELL  Intel Core i5   Integrated Intel UHD Graphics 620  256 GB 1044 Windows 11  16 GB 14 Inches Integrated Webcam, Touchscreen | PRICE=329.00 | RAM=16GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",23,"Dell Latitude 7400 Touch Laptop Intel i5-8365U Win 11 16GB RAM 256GB SSD (Renewed) DELL  Intel Core i5   Integrated Intel UHD Graphics 620  256 GB 1044 Windows 11  16 GB 14 Inches Integrated Webcam, Touchscreen",329.00,
ba3e4d891bf3,ROW=24 | NAME=Panasonic Laptop Let's Note CF-SZ5/12.1inch/Win 11 Pro/Core i5-6300U/Webcam/WiFi/Bluetooth/HDMI/8GB/512GB SSD (Renewed) Panasonic  Intel Core i5 2.4 GHz Silver Integrated   512 GB Let s Note Windows 11  8 GB 12.1 Inches | PRICE=325.00 | RAM=8GB | SCREEN_SIZE=12.1 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=,24,Panasonic Laptop Let's Note CF-SZ5/12.1inch/Win 11 Pro/Core i5-6300U/Webcam/WiFi/Bluetooth/HDMI/8GB/512GB SSD (Renewed) Panasonic  Intel Core i5 2.4 GHz Silver Integrated   512 GB Let s Note Windows 11  8 GB 12.1 Inches,325.00,
449414c491e6,"ROW=25 | NAME=Dell Latitude 5491 14"" Laptop - Intel i5-8300H, 16GB RAM, 512GB SSD, Win 11 Pro (Renewed) DELL  Core i5 8300H 2.3 GHz  Integrated  SSD 512 GB Latitude 5491 Windows 11 Pro  16 GB 14 Inches | PRICE=409.00 | RAM=16GB | SCREEN_SIZE=14 inch | CPU=Intel Core i5 | CATEGORY=Standard | RATING= | RATINGS_COUNT= | DIMENSIONS= | RANK= | NET_QTY= | GENERIC=",25,"Dell Latitude 5491 14"" Laptop - Intel i5-8300H, 16GB RAM, 512GB SSD, Win 11 Pro (Renewed) DELL  Core i5 8300H 2.3 GHz  Integrated  SSD 512 GB Latitude 5491 Windows 11 Pro  16 GB 14 Inches",409.00,
