Product Name,Price,URL,ASIN,Aspect ratio,Batteries Required,Battery cell composition,Battery life,Best Sellers Rank,Brand,CPU manufacturer,CPU model,CPU speed,Colour,Compatible devices,Computer Memory Type,Connectivity technology,Connector Type,Country/Region of origin,Customer Reviews,Date First Available,Digital storage capacity,Display Technology,Display Type,Display resolution maximum,Flash Memory Installed Size,Form Factor,Form factor,Graphics Card Description,Graphics Coprocessor,Graphics RAM Type,Graphics card description,Graphics coprocessor,Graphics processor manufacturer,Hard Disk Description,Hard Drive Size,Hard disk description,Hard disk size,Hardware Platform,Human interface input,Item Model Number,Item Weight,Item weight,Manufacturer,Manufacturer reference,Memory Storage Capacity,Memory storage capacity,Model,Model Name,Model name,Model year,Mounting Hardware,Number of Ports,Operating System,Operating system,Package Dimensions,Part Number,Power Source,Processor Brand,Processor Count,Processor Speed,Processor Type,Processor count,Processor model number,Product dimensions,RAM Size,RAM memory installed size,Ram Memory Installed Size,Ram Memory Technology,Resolution,Scanner Resolution,Screen Resolution,Screen size,Screen surface description,Shell type,Software included,Special Features,Special feature,Specific uses for product,Standing screen display size,Supports Bluetooth Technology,Total USB ports,Wattage,Wireless Type
"HP Chromebook 14a, 14-inch HD Touchscreen, Intel Processor N100, 4GB RAM, 64GB eMMC, Intel UHD Graphics, ChromeOS, Wi-Fi 6E, Bluetooth 5.3, Fast Charge, Long Battery Life, Glacier Silver, A1NF6PA",$407.27,https://www.amazon.com.au/HP-Chromebook-Touchscreen-Processor-A1NF6PA/dp/B0DN8WG55D/ref=sr_1_4,,,,,,,HP,,Intel N100,,Glacier Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,1 TB,,,,,,,,,,,,ChromeBook 14a,,,,,Windows 11 Home,,,,,,,,,,,,4 GB,,,,,,14 Inches,,,,,"Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",,,,,,
"Lenovo Chromebook IdeaPad Slim 3 14M868, 14' HD, 128GB eMMC/4GB RAM, MediaTek Kompanio 520, Abyss Blue",$368.00,https://www.amazon.com.au/Lenovo-IdeaPad-14M868-MediaTek-Kompanio/dp/B0CTZF875W/ref=sr_1_5,,,,,,,Lenovo,,MediaTek Kompanio 520,,Abyss Blue,,,,,,,,,,,,,,,,,,Integrated,,,,,,128 GB,,,,,,,,,,,,IdeaPad,,,,,Chrome OS,,,,,,,,,,,,4 GB,,,,,,14 Inches,,,,,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",,,,,,
"HP Elitebook 830 G5 13.3"" i5-8250U 16GB 256GB SSD, Full HD, Windows 11 (Renewed)",$312.00,https://www.amazon.com.au/HP-Elitebook-i5-8250U-Windows-Battery/dp/B0D7GQT773/ref=sr_1_6,,,,,,,HP,,Intel Core i5,,Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,HP Elitebook 830,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,13.3 Inches,,,,,"Fingerprint Reader, Numeric Keypad",,,,,,
"HP 15.6'' Laptop, FHD Display, Intel Core i5 1334U Processor, Intel Iris Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home, 1.59 kg, Jet Black, 9T0K1PA","$1,999.00",https://www.amazon.com.au/HP-Display-Processor-Graphics-Windows/dp/B0FK9BL44H/ref=sr_1_7,,,,,,,HP,,Intel Core i5,4.6,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,HP 15" Laptop,,,,,Windows 11 Home,,,,,,,,10,,,,16 GB,,,,,,15.6 Inches,,,,,,,,,,,
Dell Latitude 5420 14" Intel i5-1135G7 16GB RAM 256GB SSD Windows 11 Pro Laptop (Renewed),$379.00,https://www.amazon.com.au/Latitude-5420-i5-1135G7-Windows-Renewed/dp/B0FB91Q47L/ref=sr_1_8,,,,,,,DELL,,Core i5,2.4 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,256 GB,,,,,,,,,,,,Latitude 5420,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,,,,,,,
Acer TravelMate P459-M-553B 15.6" Intel Core i5-6200U 8GB 256GB Windows 11 (New Compatible Battery Installed) (Renewed),$199.00,https://www.amazon.com.au/TravelMate-P459-M-553B-i5-6200U-Compatible-Installed/dp/B0FMJSSM4M/ref=sr_1_9,,,,,,,acer,,Intel Core i5,2.3 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,TravelMate P459-M-553B,,,,,Windows 11,,,,,,,,2,,,,8 GB,,,,,,15.6 Inches,,,,,,,,,,,
"ASUS ChromeBook Laptop. 14.0-inch FHD (1920 x 1080) 16:9 Display. Intel Celeron N4500 Processor 1.1 GHz (up to 2.8 GHz, 2 cores). LPDDR4X 8GB RAM. 128G eMMC Storage. Wi-Fi 6. ChromeOS.",$328.00,https://www.amazon.com.au/ASUS-ChromeBook-Laptop-14-0-inch-1920/dp/B0F6Y9BF82/ref=sr_1_10,,,,,,,ASUS,,Celeron,,Pure Grey,,,,,,,,,,,,,,,,,,Integrated,,,,,,128 GB,,,,,,,,,,,,CX1405CKA-NK8128,,,,,Chrome OS,,,,,,,,,,,,8 GB,,,,,,14 Inches,,,,,"Anti Glare Coating, Lightweight",,,,,,
Microsoft Surface Laptop 2-13.5" Touch Screen Intel Core i5 8th Generation 8350U 8GB RAM 128GB SSD Windows 11 Notebook PC (Renewed),$305.00,https://www.amazon.com.au/Microsoft-Surface-Generation-Windows-Notebook/dp/B0F8C71VFF/ref=sr_1_11,,,,,,,Microsoft,Intel,Intel Core i5,1.7 GHz,,,,,,,,,,,,,,,,,,,,,,,,SSD,128 GB,,,,,,,,,,,,SURFACELAPTOP2-I58TH-8G128GE,,,,,Windows 11,,,,,,,,4,,,,,,,,,,13.5 Inches,,,,,,,,,,,
"Lenovo V15 Business Laptop Computer, 15.6"" FHD Display, Intel Dual-core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, Numeric Keypad, WiFi, Bluetooth 5.1, USB Type-C, Windows 11 Pro, Black, Tichang","$2,499.00",https://www.amazon.com.au/Lenovo-Business-Dual-core-Processor-Bluetooth/dp/B0CYZB17HM/ref=sr_1_12,,,,,,,Lenovo,,Celeron,,Black,,,,,,,,,,,,,,,,,,Integrated,,,,,,1 TB,,,,,,,,,,,,V15,,,,,Windows 11 Pro,,,,,,,,,,,,32 GB,,,,,,15.6 Inches,,,,,Numeric Keypad,,,,,,
Dell Latitude 5300 13.3" i5-8365U 16GB 256GB Win 11 Pro (Renewed),$349.00,https://www.amazon.com.au/Latitude-Touch-i5-8365U-256GB-Renewed/dp/B0CSCX7RKM/ref=sr_1_16,,,,,,,DELL,,Intel Core i5,1.6 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,DW347,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,13.3 Inches,,,,,"Fingerprint Reader, Memory Card Slot",,,,,,
